대구만촌점,대구광역시 수성구 달구벌대로 2642(만촌동),053-742-1669,10:00~23:00
대구반월당점,대구광역시 중구 중앙대로67길 10,053-428-7555,11:00~22:00
대구방촌점,대구광역시 동구 동촌로 196,053-981-5556,11:00~22:30
대구보건대점,"대구광역시 북구 태전동 976-4,1층",053-295-3038,11:00~22:00
대구북구청역,"대구 북구 고성북로 34 (고성동3가, 오페라트루엘 시민의 숲) 301동 104호(고성동 3가,오페라 트루엘 시민의 숲)",053-355-4003,10:00~22:00
대구북비산점,대구광역시 서구 달서로 177-1,053-525-9945,11:00~23:00
대구서부터미널점,대구광역시 달서구 월배로 497번지 1~2동 (송현동),053-475-4242,10:00~23:00
대구서재점,"대구광역시 달성군 다사읍 서재로 113, 1층",053-582-0022,10:00~22:30
대구성당점,"대구광역시 달서구 당산로 118, 1층",053-655-8582,11:00~22:00
대구세천점,대구 달성군 다사읍 세천리 1590-4 101호,053-588-0854,10:00 ~ 22:00
대구송현점,대구광역시 달서구 월배로75길 69,053-555-9953,11:00~22:00
대구신매점,대구광역시 수성구 신매동  572-3,053-795-7888,10:30~23:00
대구신서혁신도시점,"대구광역시 동구 이노밸리로 325, 103호",053-964-7988,08:00~23:00
대구신월성점,대구 달서구 조암로6길 6-45 (월성동) 1층,053-636-1033,10:00 ~ 23:00
대구연경점,대구광역시 북구 연경동  960-3,053-242-1118,10:00~21:40
대구옥포점,대구광역시 달성군 옥포면 강림리 1125번지,053-611-4244,10:00~21:30
대구월배점,대구광역시 달서구 상원로 103,053-634-0303,11:00~22:00
대구월성CGV점,대구광역시 달서구 조암로 29 이래타워 1층 106호,053-638-4242,11:00~21:30
대구장기점,"대구광역시 달서구 장기로 243, 1층",053-521-7377,11:00~22:00
대구중동점,대구광역시 수성구 중동  100-2,053-763-5242,09:30~23:00
대구지산점,대구 수성구 지범로 208 (범물동) 1층,053-784-3645,11:00 ~ 23:00
대구진천점,대구광역시 달서구 진천로 78,053-382-8585,11:00~22:00
대구칠곡점,대구 북구 학정로 431 (동천동) 1층 101호,053-311-7730,10:30~22:30
대구침산점,"대구광역시 북구 침산남로 140,엠비프라자 2층 201호",053-341-4478,10:30~09:30
대구평리점,대구광역시 서구 평리동   1526-21,053-554-5794,11:00~23:00
대구한의대점,"경상북도 경산시 한의대로 1, 대구한의대M동 9호관 B1",053-811-4776,11:00~19:00
대구현풍점,"대구광역시 달성군 유가면 테크노상업로 100, 1층 107호",053-611-0805,10:00~22:30
대구호산점,대구광역시 달서구 호산동로 35북길 26,053-591-4244,11:00~23:00
대덕테크노밸리점,대전 유성구 테크노2로 187 (용산동 미건테크노월드) ,042-932-9636,10:00~22:00
대동사거리점,부산광역시 해운대구 좌4동 1407-3 대하프라자 107호,051-702-3336,11:00~22:30
대명계대점,대구광역시 남구 대명동  1890-11,053-654-7771,11:00~22:30
대방역점,서울 동작구 대방동 342-5 ,02-3280-5654,10:30~21:30
대방점,경상남도 창원시 성산구 가양로 124번길 15 대암빌딩 2층,055-266-3232,10:00~23:00
대안점,경상남도 진주시 대안동 14-7 #2층,055-744-5559,10:30~22:30
대연점,부산광역시 남구 수영로 239,051-611-8812,10:30~24:00
대전가수원점,대전광역시 서구 원도안로 16,042-542-4888,10:30~21:50
대전가오점,대전광역시 동구 은어송로 42-3 1층,042-282-3001,10:40~21:50
대전갈마점,대전 서구 갈마동 343-54 1층 101호,042-535-8838,11:00 ~ 21:30
대전과기대점,대전 서구 복수동 605 1층,042-581-5010,10:00~22:00
대전관평점,"대전광역시 유성구 관들1길 55,1층",042-932-9939,10:00~21:30
대전대동점,대전 동구 대동 542 1층,042-272-4567,10:00~22:00
대전대점,"대전광역시 동구 대학로 62-29,2층",042-273-3000,10:00~21:30
대전대흥동점,"대전광역시 중구 선화서로 7,1층",042-242-5214,10:30~22:30
대전도안상대점,대전광역시 유성구 봉명서로 31-13,042-825-4111,11:00~20:50
대전둔산점,대전광역시 서구 둔산동  1498번지,042-472-9982,11:00~23:00
대전만년점,대전광역시 서구 만년로 67번길 34-11 1층,042-489-9229,11:00~22:00
대전모다아울렛점,"대전광역시 유성구 대정로 5, 지상2층",042-541-8824,11:00~21:00
대전목동점,대전광역시 중구 동서대로  1387-6,042-224-4222,10:30~22:50
대전문화점,대전광역시 중구 문화동  284-24,042-584-4259,10:30~21:30
대전반석점,"대전광역시 유성구 반석로  32 양지타워 1 ,2층",042-825-7133,10:30~22:30
대전법동점,대전 대덕구 중리북로 4 (법동 동아빌딩) 1층,042-622-0228,10:00~22:00
대전보건대점,대전광역시 동구 가양동  162-3,042-622-3998,10:40~21:40
대전복합터미널점,대전 동구 동서대로 1688 (성남동) 1층 110호,042-621-0125,09:30~06:30
대전산성동점,대전광역시 중구 대둔산로 391,042-584-0151,09:30~21:50
대전송강점,대전광역시 유성구 봉산로 15 1층,042-936-1575,10:40~21:30
대전송촌점,대전광역시 대덕구 계족산로81번길 59-9,070-5043-1453,10:30~23:00
대전신성점,"대전광역시 유성구 신성로 97, 1층",042-863-4111,10:30~21:30
대전아쿠아리움점,대전광역시 중구 보문산공원로 469,042-222-5100,13:00~17:00
대전월평점,"대전광역시 서구 청사서로 40,1층",042-471-9939,11:00~22:20
대전유성점1,대전광역시 유성구 봉명동 447-6번지 상가 101호 (레자미 3차 상가 101호),042-361-1101,10:30~21:40
대전전민점,"대전광역시 유성구 유성대로 1738, 1층(전민동)",042-864-0775,11:00~22:00
대전지족점,대전광역시 유성구 지족동로  160(지족동) 1층,042-825-3336,10:00~22:30
대전청사점,대전광역시 서구 문예로 137,042-483-9225,11:00~21:30
대전카이스트점,대전광역시 유성구 어은로42번길 5 1층,042-862-1112,11:00~20:30
대전탄방점,"대전광역시 서구 계룡로 589, 1층",042-484-9982,10:30~22:30
대전태평점,대전광역시 중구 태평로 71,042-535-3311,10:00~22:00
대전판암점,대전광역시 동구 옥천로 177 101호,042-710-5001,10:40~21:30
대진대점,"경기도 포천시 군내면 호국로 1007-15(선단동 89-15) 1,2층",031-541-7772,11:00~21:00
대천해수욕장점,충청남도 보령시 해수욕장4길 142 (신흑동),041-933-9281,10:00~22:00
대치동학원가점,"서울특별시 강남구 삼성로 229,1층",02-3437-8383,11:00~22:30
덕계점,경상남도 양산시 덕계동 742-13,055-388-0121,11:00~22:30
덕성여대점,서울특별시 강북구 수유2동 279-69,02-993-3400,10:30~22:30
덕신점,울산광역시 울주군 온산읍 덕신리 1356-13,052-239-9253,11:00~22:00
덕정점,경기도 양주시 덕정동 240-11번지 203호,031-858-9281,11:00~21:30
덕천점,부산광역시 북구 만덕대로 20-1,051-336-4000,10:30~23:00
도계강원대점,강원도 삼척시 도계읍 황조리 209 강원대도계캠퍼스,033-541-7771,10:00~20:00
도당여월점,경기도 부천시 오정구 원종동  375-12,032-683-8712,10:30~22:00
독산지식산업센터점,"서울특별시 금천구 독산동  291-1, 현대지기산업센터 B1 T-L",02-2104-6560,10:30 ~ 22:00
돈암하늘채점,서울 성북구 아리랑로 75 (돈암동 돈암코오롱하늘채) 1층,02-929-7587,10:30~22:00
동국대점,서울 중구 서애로1길 11 (충무로5가) ,02-2275-9150,10:30~22:00
동대문장안점,서울특별시 동대문구 장안동  335-5,02-2249-5818,10:00~22:30
동대문현대시티점,서울특별시 중구 장충단로13길  20 B1,02-2283-2185,10:30~20:30
동덕여대점,서울특별시 성북구 화랑로13길 7 (하월곡동 18-14),02-909-6638,10:30~21:30
동두천보산점,경기도 동두천시 평화로 2549,031-858-4727,10:30~23:00
동두천지행점,경기도 동두천시 지행동  694-2,031-862-9995,10:30~23:00
동명대점,부산광역시 남구 신선로 428번지 동명대 가온누리관 1층,051-466-7245,10:00~15:00
동서울대점,경기도 성남시 수정구 복정동 678-7,031-751-0027,10:00~22:00
동신대점,전라남도 나주시 대호동 252번지 동신대학교 첨단 강의관2층,061-330-2922,09:00~21:00
동아대병원점,부산광역시 서구 보수대로 266,051-2558-9087,11:00~21:30
동아대점,부산광역시 사하구 낙동대로 516번길 47,051-904-2991,10:00~21:30
동양미래대점,서울특별시 구로구 경인로47길 30,02-2688-8800,10:00~22:00
동양점,인천광역시 계양구 동양동  641-1,032-556-0010,11:00~22:30
동여의도점,서울특별시 영등포구 여의대방로 394,02-780-6469,10:30~21:30
동의대지천관점,부산광역시 부산진구 엄광로 176번지 동의대지천관 1층,051-898-4203,10:00~19:00
동의의료원점,부산광역시 부산진구 양정동 산 45-1 동의의료원본관 1층,051-868-0991,10:30~18:00
동작보라매점,서울특별시 동작구 여의대방로 82,02-832-4233,11:00~21:30
동주대점,부산광역시 사하구 낙동대로 154,051-204-2757,10:30~21:30
동탄11자상가점,"경기도 화성시 동탄순환대로 690,1층",031-377-8389,11:00~21:30
동탄2신도시점,"경기도 화성시 동탄대로시범길 148-54, A동 108호",031-372-9147,11:00~21:40
동탄나루마을점,경기도 화성시 동탄솔빛로 61 훼미리빌딩,031-613-3832,11:00~21:30
동탄능동점,경기도 화성시 동탄지성로 142,031-613-7709,09:00~21:00
동탄목동점,경기 화성시 동탄신리천로 411 (목동) 119호,031-376-1390,10:00~22:00
동탄반송점,경기도 화성시 동탄원천로 163,031-613-0662,
동탄여울공원점,경기 화성시 동탄광역환승로 73 (오산동 동탄역 반도유보라 아이비파크 8 ,070-4833-1826,10:30~21:30
동탄테크노밸리점,경기 화성시 동탄기흥로 570-6 (영천동) ,031-5183-9675,11:00 ~ 21:00
동탄호수공원점,경기도 화성시 동탄면 산척리 589,031-376-8613,10:30~21:30
동해1함대점,강원 동해시 대동로 430 (송정동) 3층,000-0000-0000,10:00~20:00
동해효가점,강원도 동해시 효자남길 62 꽃가람,033-522-3100,11:00~21:00
둔촌동역점,서울특별시 강동구 성내동  440,02-474-0012,
둔포테크노밸리점,"충청남도 아산시 둔포면 아산밸리중앙로 89,1층",041-532-4240,10:00~22:30
마곡LG사이언스파크2호점,"서울 강서구 마곡중앙8로 71 (마곡동, LG사이언스파크) B1F",000-0000-0000,11:00~18:00
마곡LG사이언스파크점,"서울특별시 강서구 마곡동  770, E동 지하1층",,10:00~17:30
마곡나루역점,"서울특별시 강서구 마곡서로 170, 1층 108호",02-6737-0022,10:00~22:00
마곡역홈앤쇼핑점,"서울특별시 강서구 마곡동  746-1 마곡엠밸리12단지,1층",02-2661-4992,10:30~21:30
마산현동점,경상남도 창원시 마산합포구 현동  606번지 중흥S클래스 프라디움2차 상가동 104호 (현동9길 14),055-241-9282,10:30~22:00
마포공덕역점,"서울특별시 마포구 마포대로 137,1층",02-718-3868,10:00~21:30
마포대흥역점,"서울특별시 마포구 대흥동   137-1,1층",02-704-2800,10:30~22:00
만덕2호점,부산광역시 북구 만덕동 824-19,051-336-8886,11:00~20:30
만수역점,인천광역시 남동구 만수동  948-4,032-465-8474,11:00~22:15
만촌메트로점,대구광역시 수성구 화랑로 74,053-755-3393,10:30~23:00
맘스피치 중랑신내점,서울 중랑구 신내동 492-24 1층,02-493-4288,11:00~23:00
망원역점,서울특별시 마포구 월드컵로 13길13,02-323-5285,10:00~23:00
망월사역점,경기도 의정부시 평화로 206,031-874-8828,11:00~22:00
매곡신천점,울산광역시 북구 매곡1로 46 대우프라자 115호,052-292-5567,11:00~22:30
매곡점,"울산광역시 북구 매산로 66, 222동 106호",052-296-8592,11:00~22:30
매봉역점,서울특별시 강남구 남부순환로 2732,02-576-2211,
메가박스웅천점,전라남도 여수시 신월로 96,,10:00~22:00
면목점,서울특별시 중랑구 면목동 617-3번지 1층,02-432-9692,11:00~21:30
명동지하상가점,강원도 춘천시 중앙로 33,033-242-9288,11:00~20:00
명지국제신도시점,"부산광역시 강서구 명지국제8로 257, 티에스스퀘어 105호",051-201-2011,11:00~22:00
명지점,부산광역시 강서구 명지오션시티4로 82호 1층,051-208-7788,11:00~22:00
모란역점,"경기도 성남시 중원구 성남대로  1144,2층",031-755-5592,10:30~22:00
목감역점,경기도 시흥시 목감동  407,031-403-2225,10:30~22:30
목동2호점,서울특별시 양천구 등촌로 62-1,02-2649-1530,10:30~22:00
목동파리공원점,서울특별시 양천구 목동  907-12,02-2643-1456,11:00~22:00
목원대점,대전광역시 서구 도안동  880번지 201호,042-825-8838,10:30~22:50
목포MBC점,전라남도 목포시 영산로 333-1,061-272-3327,10:00~22:00
목포대학점,전남 무안군 청계면 승달산길 24 (도림리) 2층,061-452-7470,10:00~21:30
목포옥암점,"전라남도 목포시 남악2로9번길 10-11,1층",061-283-6100,11:00~22:00
목포장미거리점,전남 목포시 비파로51번길 31 (상동) 1층,061-282-8338,11:00 ~ 22:00
목포해상케이블카점,전라남도 목포시 달동  산 192-18,,11:00~20:00
무선점,전라남도 여수시 화장동 789-9,061-685-9282,10:30~21:30
문경점촌점,경상북도 문경시 점촌5길 7,054-555-1400,11:00~22:00
문막점,강원도 원주시 문막읍 동화리 1542-9,033-735-6084,11:00~22:30
문수로아이파크점,"울산광역시 남구 신정동 1222-5번지 협성휴포레112호(봉월로67번길 3,112(신정동,신정협",052-960-9292,10:00~21:30
문수점,전라남도 여수시 여서로 174,061-651-1991,10:30~21:40
문정역점,서울특별시 송파구 문정동  651,02-448-1318,10:30~22:30
문현점,부산광역시 남구 수영로 21(문현동) 1층,051-632-5055,10:30~22:00
미금역점,"경기도 성남시 분당구 돌마로 75, 2층",031-712-9100,10:30~22:00
미사강변대로점,경기도 하남시 미사강변대로 80 그린프라자 2층 201호,031-793-0605,11:00~21:00
미사역점,경기도 하남시 망월동  1089,031-794-6969,10:00~22:00
미아사거리역점,"서울특별시 강북구 미아동  54-54 1층,B1층",02-6326-9707,08:00~24:00
민락수변점,부산광역시 수영구 광안해변로 311 센텀프리모 상가동 114호,051-755-9245,10:30~23:00
밀양삼문점,경상남도 밀양시 삼문동 741-3,055-354-2448,11:00~22:00
밀양중앙점,"경상남도 밀양시 내이동  914번지 (약산로 54-1, 918-1,918-2, 2층(내이동))",055-356-6633,10:00~22:00
밀양하남점,경상남도 밀양시 하남읍 수산리 467-49,055-391-1777,11:00~21:00
박달사거리점,"경기 안양시 만안구 양화로 112 (박달동, 상민빌딩) 1층",031-466-3195,11:00 ~ 22:00
반구중앙여고점,"울산광역시 중구 반구동 776-7 (내황2길 26 (반구동,1층))",052-286-3004,11:00~22:00
반여2호점,부산광역시 해운대구 재반로 215,051-784-2210,11:00~22:00
반지반림점,경상남도 창원시 성산구 반지동  80-5,055-289-9285,10:30~22:30
배곧한라점,"경기 시흥시 배곧1로 27-16 (정왕동, 한라비발디캠퍼스2차) 상가4동 1층 101A,101B",031-498-7472,11:00 ~ 22:00
백령도점,인천 옹진군 백령면 백령로 240 (진촌리) ,032-836-0090,11:00~23:00
범계점,"경기도 안양시 동안구 평촌대로223번길 65, 205-206-207호 (호계동 1046-1, 범계빌딩)",031-387-0201,10:30~22:30
벡스코점,"부산광역시 해운대구 센텀남대로 50, 센텀임페리얼타워 103호",051-746-8123,10:30~21:30
별내북부역점,"경기도 남양주시 별내3로 318, 104호",031-575-3353,11:00~21:30
병점중앙점,경기도 화성시 효행로 1059 (진안동) 112~3호(미래프라자),031-235-7702,10:00~21:00
보광동점,서울특별시 용산구 보광동  217-10,02-793-8892,11:30~22:00
보령2호점,충청남도 보령시 대천동  180-3번지,041-933-0980,10:00~20:00
보령점,충청남도 보령시 주공로 17,041-933-9901,10:00~20:00
봉곡점,경상북도 구미시 봉곡동  381-4번지,054-451-6126,10:30~22:00
봉명아이파크점,"충청북도 청주시 흥덕구 덕암로 108번길65, 1층",043-900-7766,11:00~22:00
봉천현대시장점,"서울 관악구 양녕로 43 (봉천동, 현대M타운) 102동 1층",02-876-1019,11:00~22:00
부개일신점,인천광역시 부평구 부개동  364-6,032-228-0606,11:00~22:40
부산가야역점,부산광역시 부산진구 가야대로 613,051-892-5277,10:30~21:30
부산감천점,부산광역시 사하구 감천로 41,051-293-9285,10:30~22:30
부산경상대점,부산광역시 연제구 고분로 143번길 3,051-867-2346,10:00~23:00
부산경성대점,부산 남구 수영로 313 (대연동) 2층,051-612-2298,10:00~22:00
부산괘법점,"부산광역시 사상구 사상로 254, 1층",051-311-4807,10:30~22:30
부산금정체육공원점,부산광역시 금정구 체육공원로399번길 324 스포원파크 (두구동 669),051-508-9195,11:00~18:30
부산기장점,부산광역시 기장군 기장읍 읍내로 103,051-721-7892,11:00~21:30
부산남구청점,"부산광역시 남구 못골로 40,2층",051-637-1010,10:30~21:00
부산대2호점,"부산광역시 금정구 금정로 60번길 31, 2층",051-582-4240,10:00~16:00
부산대북문점,부산광역시 금정구 금강로 335번길 16,051-581-2222,10:30~22:00
부산대저점,부산광역시 강서구 대저1동  1749-16,051-973-8200,10:30~21:30
부산대점,부산광역시 금정구 부산대학로 63번길 4,051-515-0516,10:30~23:00
부산대청점,부산광역시 중구 대청로 94 1층,051-245-1836,10:30~21:30
부산동래메가점,"부산광역시 동래구 명륜로  129번길 2,2층",051-553-5000,11:00~22:30
부산동삼동점,"부산광역시 영도구 동삼동  266-4, 1층",051-404-3666,11:00~22:00
부산망미점,부산 수영구 과정로 54 (망미동) 1층,051-758-7999,10:00~22:00
부산명장점,"부산광역시 동래구 반송로 271,1층",051-526-2221,11:00~21:00
부산모라점,부산광역시 사상구 백양대로 916,051-326-9982,11:00~23:00
부산문현금융단지점,부산광역시 남구 문현금융로 22 2층,051-636-1112,10:00~16:00
부산반여점,"부산광역시 해운대구 선수촌로 81-1,1층",051-523-1531,11:00~21:30
부산범어사역점,부산광역시 금정구 중앙대로 2102,051-581-3121,10:00~22:00
부산부암점,부산광역시 부산진구 새싹로 83-2,051-809-5605,11:00~22:00
부산서면점,"부산광역시 부산진구 중앙대로 692번길 25, 2층",051-804-8011,09:30~23:00
부산센텀점,"부산광역시 해운대구 센텀중앙로 90,1층",051-783-8259,10:30~21:30
부산송도점,"부산광역시 서구 암남공원로 39,1층",051-257-8585,10:30~22:00
부산송정점,부산광역시 해운대구 송정동  312-9,051-704-8283,11:00~21:30
부산시청점,부산광역시 연제구 중앙대로 1037(연산동),051-863-9282,11:00~22:30
부산신개금점,"부산광역시 부산진구 개금본동로 39, 1층 (개금3동 21-2)",051-893-9295,11:00~23:00
부산신호점,부산광역시 강서구 신호산단2로 21 1층,051-941-6788,10:30~21:30
부산안락점,부산광역시 동래구 안락동  471-2,051-522-3666,11:00~21:00
부산연지점,부산광역시 부산진구 새싹로 177,051-808-1567,11:00~22:30
부산월내점,부산광역시 기장군 장안읍 월내2길 1,051-727-3335,10:30~22:00
부산장림점,부산광역시 사하구 다대로 247(장림동 산 29-4),051-263-2800,10:30~21:30
부산재송점,부산광역시 해운대구 재반로 79(재송동),051-783-9797,10:30~22:00
부산전포점,부산 부산진구 전포동 340-4 ,051-819-3709,10:00~22:00
부산정관1호점,부산 기장군 정관읍 정관로 499 (용수리) 104호,051-727-4282,11:00~22:30
부산지사점,"부산 강서구 과학산단로306번길 10 (지사동, 협성 ・ DS 엘리시안) 115동 1호",051-973-3803,11:00~20:00
부산초량점,부산광역시 동구 초량중로 87,051-442-2348,10:00~22:30
부산하단역점,"부산광역시 사하구 하신중앙로 322, 명진빌딩 1층",051-293-5558,11:00~22:00
부산학장점,부산광역시 사상구 대동로 61,051-312-9955,11:00~23:00
부안읍점,"전라북도 부안군 부안읍 봉덕리 790-6번지 2층 (부안읍 석정로 227, 2층)",063-581-4282,10:30~21:30
부천고강점,경기도 부천시 오정구 고강동  371-8,032-677-3355,10:30~22:00
부천괴안점,경기도 부천시 소사구 괴안동  87-1,032-345-7982,11:00~23:00
부천대점,경기도 부천시 원미구 심곡동  377-40 2층,032-611-8636,11:00~22:00
부천상동역점,"경기도 부천시 원미구 상동  534-2, 상동프라자 104호",032-328-1004,10:30~22:30
부천상동점,경기도 부천시 원미구 상동 557-3 늘푸른상가 2층,032-328-3555,09:40~01:40
부천소명점,경기도 부천시 원미구 소사동 5-17,032-351-0285,11:00~22:30
부천순천향대병원점,"경기 부천시 조마루로 170 (중동, 순천향대학교) 순천향대학교 부속 부천병원 본관 지하 2층 일부",000-0000-0000,10:30~18:30
부천약대점,경기도 부천시 중동로 416-1,032-673-4512,10:30~22:30
부천역곡점,경기도 부천시 원미구 역곡동  79,032-345-7300,11:00~22:20
부천역점,"경기도 부천시 성주로 263,1층",032-666-2925,10:40~22:00
부천오정점,경기도 부천시 오정로 210,032-678-6677,10:30~22:30
부천옥길점,경기도 부천시 소사구 옥길동  776-1,032-344-6257,10:30~22:00
부천원미점,경기도 부천시 원미구 원미동  94-5 명성프라자 107호,032-662-4279,10:30~22:30
부천원종점,경기 부천시 원종동 220-1 1층 3호,032-672-4288,09:00 ~ 22:30
부천중동1점,경기도 부천시 원미구 중동  1079-1 뉴월드타운 101호,032-325-9902,10:00~02:00
부천카톨릭대점,경기도 부천시 원미구 역곡동  산43-1,032-345-8892,10:30~21:00
부평갈산점,"인천광역시 부평구 주부토로 223,1층",032-505-6500,11:00~21:40
부평로데오점,인천광역시 부평구 부평동  194-19,032-220-9491,11:00~22:40
부평본점,인천광역시 부평구 장제로 58,032-508-9279,11:00~23:00
부평부개점,인천광역시 부평구 부개동  23-18,032-502-1900,11:00~22:25
북마산점,경상남도 창원시 마산합포구 북성로 91,055-222-5990,10:30~22:30
북부정류장점,"대구광역시 서구 비산동  1840-1번지 (서대구로 304, 1층 104호(비산동))",053-353-7982,10:00~22:30
분당서현점,경기도 성남시 분당구 불정로 376번길 7,031-703-1530,10:00~22:00
분당정자역점,경기 성남시 분당구 정자일로198번길 26 (정자동 노비오스호텔) 1층 103호,031-717-9802,10:30~22:00
사직점,부산광역시 동래구 사직북로 3,051-507-1588,11:00~22:30
사천사남점,경남 사천시 사남면 월성리 474-20 1층 108호,055-853-5999,10:00~22:00
산곡1점,"인천광역시 부평구 산곡동 281-5 오남프라자 108호 (부영로189번길 51,108호 (산곡동,",032-514-0077,11:30~21:00
산기대점,경기도 시흥시 산기대학로 237 스마트허브산학융합 1층,031-319-9289,09:00~21:00
산호점,경상남도 창원시 마산합포구 산호동 202-6,055-246-3038,11:00~21:50
삼각지역점,"서울특별시 용산구 한강대로 205,(한강로 1가 50-1 1층)",02-794-6888,10:30~22:30
삼계점,"경상남도 김해시 가야로169번길 5(삼계동,블루시티퀀덤)",055-311-9555,11:00~22:30
삼례우석대점,전라북도 완주군 삼례읍 후정리 19,063-291-2912,11:00~21:00
삼문코아점,경상남도 김해시 능동로 155번길 10-21,055-312-8290,11:00~22:30
삼성중앙역점,서울특별시 강남구 삼성동  50-2,02-3445-4466,10:30~21:30
삼송동산고점,"경기도 고양시 덕양구 동세로 22-2, 1층",02-381-9252,11:00~22:00
삼양사거리점,서울특별시 강북구 솔샘로 254,02-984-7337,10:30~22:30
삼육대점,경기도 남양주시 불암로 41-56,031-572-0572,10:00~22:00
삼척대학로점,강원도 삼척시 진주로 39 (남양동),033-574-5000,11:00~21:00
삼천포점,경상남도 사천시 벌리동 261-6,055-833-3883,11:00~22:00
삼풍계양점,경상북도 경산시 삼풍동  510-2번지,053-801-0045,11:00~22:30
삼호터미널점,전라남도 영암군 삼호읍 방아제로 2,061-464-4282,11:00~22:00
상계역점,서울 노원구 덕릉로83길 26 (중계동) 2층,02-939-5279,11:00~22:30
상도역점,서울특별시 동작구 상도1동  772-1,02-814-8255,10:00~21:30
상모점,경상북도 구미시 상모동 29-4,054-462-9555,11:00~22:30
상봉역점,서울 중랑구 상봉동 100-7 ,02-432-8892,10:30~22:00
상암MBC점,서울특별시 마포구 성암로 267,02-304-2626,10:30~22:00
상주점,경상북도 상주시 서문동 51-5,054-536-4292,11:00~22:00
상지대점,강원도 원주시 우산동 660 상지대학교(744-7382),033-744-7382,10:00~18:00
서귀동홍점,제주특별자치도 서귀포시 동홍중앙로 51,064-767-9282,11:00~21:40
서귀중앙점,제주특별자치도 서귀포시 중앙로 69,064-762-8299,11:00~23:00
서대문역점,서울특별시 서대문구 미근동  196-1,02-365-0666,10:00~21:30
서대전점,"대전광역시 중구 계백로 1689, 1층",042-522-6633,09:30~23:30
서래마을점,서울 서초구 반포동 91-10 2층,02-595-3035,10:00 ~ 22:00
서면1번가점,"부산광역시 부산진구 중앙대로 687,1층",051-244-5482,10:30~1:00
서산대산점,충남 서산시 대산읍 대산리 148-8 ,041-669-1427,10:00 ~ 22:00
서산터미널점,충청남도 서산시 안견로 201,041-662-9280,10:00~21:00
서산테크노밸리점,충청남도 서산시 성연면 성연3로 29 금형빌딩 1층 101호,041-669-8242,10:30~22:00
서산한서대점,충청남도 서산시 해미면 대곡리 397-3 궁전빌딩 1층,041-688-9288,11:00~20:00
서산호수공원점,충청남도 서산시 호수공원4로 48,041-667-9288,10:00~22:00
서울대입구역점,"서울특별시 관악구 관악로 192, 2층",02-877-0032,10:00~22:15
서울시립대점,서울특별시 동대문구 전농동 124-2 (서울시립대로 147 (전농동 103호),02-2245-9292,10:00~23:00
서울시청점,"서울특별시 중구 무교로 12, 2층",02-3789-8503,10:00~22:00
서울외대점,서울특별시 동대문구 이문로 108 2층,02-959-6632,10:00~22:30
서원대점,충청북도 청주시 서원구 모충동 245-6 #2층,043-291-5001,11:00~21:00
서일대점,서울특별시 중랑구 용마산로 408(면목동 51-1),02-491-9600,10:30~20:50
서초교대점,서울특별시 서초구 서초동  1671-5,02-2055-1175,11:00~22:30
서초중앙로점,"서울특별시 서초구 반포동  32-2, 2층",02-596-1278,11:00~21:30
서충주기업도시점,충청북도 충주시 중앙탑면 용전리 680,043-845-2020,10:20~22:00
서판교점,경기도 성남시 분당구 운중로 142,031-707-0912,10:30~22:00
서현역점,"경기도 성남시 분당구 서현동  247-2, 2층",031-701-0630,10:30~21:00
석계역점,"서울특별시 노원구 석계로1길 18,2층",02-909-5892,10:30~22:00
석동점,경상남도 창원시 진해구 석동  654-3 세븐코아빌딩 1층,055-546-4249,10:00~22:00
석사점,강원도 춘천시 석사동 495-14,033-264-7992,10:30~23:30
석전양덕점,경상남도 마산시 마산회원구 석전2동 248-9,055-298-0110,11:30~22:00
석촌역점,서울특별시 송파구 석촌동  290-8,02-415-3232,10:30 ~ 22:00
선암점,울산광역시 남구 선암동 665-3,052-257-5151,11:00~22:30
선유도역점,서울특별시 영등포구 양평로 119-1,02-2679-8864,10:00~22:00
설악워터피아점,강원도 속초시 미시령로 2983번길 111,,11:00~21:00
성건점,경상북도 경주시 동대로 18번지 (성건동),054-748-8777,11:00~23:00
성결대점,경기도 안양시 만안구 성결대학로 38,031-8033-8668,10:00~22:00
성균관대점,서울특별시 종로구 명륜3가 53 경영관 지하2층,00-0000-0000,10:00~15:00
성남상대원점,경기 성남시 중원구 상대원동 5469 1층,031-789-6785,10:00~22:00
성남세이브존점,경기도 성남시 수정구 산성대로 337,031-732-9924,10:00~21:30
성남신흥점,경기도 성남시 수정구 수정로 192,031-751-3388,10:00~22:30
성남은행시장점,경기 성남시 수정구 산성대로 523 (양지동) ,031-736-3288,10:00~22:20
성동금호점,서울특별시 성동구 금호동4가  561-2,02-2292-5002,11:00~21:30
성북종암점,서울특별시 성북구 종암동  14-2,02-6082-9707,11:00~22:00
성수역점,"서울특별시 성동구 성수이로20길 3, 세종빌딩 1층",02-467-3880,10:30 ~ 22:30
세종CGV점,세종특별자치시 도움1로 108,044-864-9211,10:00~22:00
세종고운점,"세종특별자치시 마음로 70, 에셀프라자 106호",044-864-9297,10:00~22:00
세종나성점,"세종특별자치시 나성동 361-50, 어반아트리움 파인앤유퍼스트원",044-905-8512,10:00~22:00
세종대평점,"세종특별자치시 시청대로 20,1층",044-866-9289,10:00~22:00
세종도담점,"세종특별자치시 도담동  653(보듬4로 9),카림애비뉴1동 1층 43호",044-867-9278,09:30~21:30
세종반곡점,세종특별자치시 반곡동 42-1 LB-111호,044-863-5353,10:00 ~ 22:00
